transaction_id,card_id,merchant_name,timestamp,amount,location,transaction_type,related_transaction_id,status,pending_balance
1,26,Barrett LLC,2025-04-01 01:21:09,131.76,"4395 Brenda Lake, Queens, NY 10859",bill_payment,,pending,154.41
2,43,Davidson-Moreno,2025-04-01 01:38:24,-232.74,"4251 Jacob Lodge, Yonkers, NY 11087",refund,,pending,-95.11000000000001
3,42,Garcia-Wright,2025-04-01 01:45:14,-274.27,"2661 Nicole Roads, New York, NY 11836",refund,,pending,-129.68999999999997
4,44,Walsh-Harris,2025-04-01 01:48:34,-328.71,"1468 Edward Walk, Bronx, NY 11645",refund,,pending,96.73000000000002
5,27,Wilson Inc,2025-04-01 02:02:39,273.43,"406 Davenport Hill, Staten Island, NY 15360",wire_transfer,,pending,312.35
6,38,Moore LLC,2025-04-01 02:04:34,92.25,"4537 James Forest, Buffalo, NY 11168",bill_payment,,pending,253.3
7,37,Snyder Ltd,2025-04-01 02:27:55,323.51,"9819 Lauren Orchard, Albany, NY 15867",bill_payment,,pending,345.25
8,15,Anderson Ltd,2025-04-01 02:39:07,490.57,"5698 Martin Village, Albany, NY 17120",p2p_transfer,,pending,648.37
9,31,Rosales-Holmes,2025-04-01 02:52:21,-347.13,"4716 Davis Hill, Albany, NY 11980",refund,,pending,-143.69
10,50,Young PLC,2025-04-01 03:00:25,12.52,"2260 Marcus Park, Rochester, NY 11786",purchase,,pending,625.14
11,26,"Roberts, Hooper and Maxwell",2025-04-01 03:05:46,269.96,"9569 Anderson Heights, Brooklyn, NY 18354",purchase,,pending,424.37
12,54,Parks-Wilson,2025-04-01 03:08:09,473.47,"4693 Kimberly Ridges, Cheektowaga, NY 10138",bill_payment,,pending,733.58
13,18,Schwartz LLC,2025-04-01 03:13:53,-163.43,"3725 David Park, Syracuse, NY 13486",refund,,pending,240.92000000000002
14,24,"Duffy, Robinson and Brooks",2025-04-01 03:31:05,274.49,"8900 Nicholas Branch, Albany, NY 19701",bill_payment,,pending,459.24
15,31,"Nelson, Bell and Huynh",2025-04-01 03:47:16,58.68,"6779 Christina Ports, Tammystad, CT 09935",atm_withdrawal,,declined,-143.69
16,14,Pineda LLC,2025-04-01 03:49:27,239.65,"4095 Woods Walk, Cheektowaga, NY 12739",purchase,,pending,344.25
17,21,"Miles, Gaines and Cherry",2025-04-01 04:05:31,161.29,"7048 Deanna Trail, Rochester, NY 10900",atm_withdrawal,,pending,190.68
18,3,Byrd PLC,2025-04-01 04:22:36,269.00,"241 Crawford Cape, Niagara Falls, NY 16230",p2p_transfer,,pending,2868.75
19,47,Washington Group,2025-04-01 04:24:42,129.22,"3211 Devin Field, South Williamtown, IL 61903",atm_withdrawal,,declined,78.46
20,36,Dean PLC,2025-04-01 04:39:34,164.75,"7353 Roberts Island, Schenectady, NY 17413",atm_withdrawal,,pending,1651.92
21,16,"Walsh, Foster and Russo",2025-04-01 04:54:11,224.56,"742 Laura Track, Syracuse, NY 10098",wire_transfer,,pending,1719.25
22,5,"Singleton, Scott and Wade",2025-04-01 05:25:55,-188.15,"1434 Collins Ports, Staten Island, NY 14601",refund,,pending,692.41
23,41,"Stuart, Orozco and Wallace",2025-04-01 05:39:14,-389.77,"6617 Thomas Inlet, Rochester, NY 14017",refund,,pending,-314.03
24,27,"Gonzalez, Sparks and Rodgers",2025-04-01 05:41:34,486.70,"6142 Medina Radial, White Plains, NY 11076",bill_payment,,pending,799.05
25,50,Malone-Greene,2025-04-01 05:43:32,183.56,"2427 Gay Plaza, Staten Island, NY 11006",atm_withdrawal,,pending,808.7
26,33,Holland-Davis,2025-04-01 05:46:02,59.24,"9367 Delgado Land, Brooklyn, NY 19129",bill_payment,,pending,325.27
